DATE: 2018-01-18 11:13, ERROR NO: 1054, ERROR: Unknown column 'Array' in 'where clause', QUERY: SELECT * FROM users WHERE u_id = Array ORDER BY 1 ASC, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/controllers.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=16 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=16 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=18 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=18 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=22 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=22 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=11 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=11 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=13 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=13 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=9 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=9 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=15 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=15 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=8 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=8 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=7 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=7 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=3 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=3 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=4 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=4 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=5 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=5 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=6 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=6 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=17 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=17 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=21 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=21 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=19 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=19 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:32, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=14 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=14 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
