,,,,,,,,,,,,
,"June 14, 2014",,,,,,,,,,,
,,,,,,,,,,,,
Stocks ID,Stocks, Previous Close (N) , Open (N) , High (N) , Low (N) , Close (N) ,Change (N),Change (%), Traded volumes (units) , Traded value (N) ,,
1,7UP, 90.00 , 90.00 , 90.00 , 90.00 , 90.00 ,0.00,0.00%," 8,201 "," 744,812.50 ",,
2,ABBEYBDS, 1.35 , 1.35 , 1.35 , 1.35 , 1.35 ,0.00,0.00%," 1,000 "," 1,290.00 ",,
3,ABCTRANS, 0.80 , 0.80 , 0.80 , 0.80 , 0.80 ,0.00,0.00%," 176,200 "," 144,496.00 ",,
4,ACADEMY, 1.71 , 1.71 , 1.71 , 1.71 , 1.71 ,0.00,0.00%," 8,778 "," 15,010.38 ",,
5,ACCESS, 9.86 , 9.98 , 9.99 , 9.91 , 9.91 ,0.05,0.51%," 2,157,689 "," 21,507,725.22 ",,
6,AFRIPRUD, 3.20 , 3.20 , 3.20 , 3.20 , 3.20 ,0.00,0.00%," 414,927 "," 1,326,448.76 ",,
7,AFRPAINTS, 2.72 , 2.72 , 2.72 , 2.72 , 2.72 ,0.00,0.00%, 500 ," 1,295.00 ",,
8,AGLEVENT, 1.38 , 1.38 , 1.38 , 1.38 , 1.38 ,0.00,0.00%," 15,705 "," 21,672.90 ",,
9,AIICO, 0.82 , 0.84 , 0.85 , 0.82 , 0.83 ,0.01,1.22%," 2,764,813 "," 2,297,383.67 ",,
10,AIRSERVICE, 2.40 , 2.45 , 2.45 , 2.45 , 2.45 ,0.05,2.08%," 153,300 "," 363,255.00 ",,
11,ASHAKACEM, 26.05 , 25.15 , 26.40 , 25.10 , 26.30 ,0.25,0.96%," 3,910,233 "," 101,844,679.92 ",,
12,ASOSAVINGS, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%, 200 , 100.00 ,,
13,AVONCROWN, 1.69 , 1.69 , 1.69 , 1.69 , 1.69 ,0.00,0.00%," 1,698 "," 2,965.46 ",,
14,BECOPETRO, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 5,000 "," 2,500.00 ",,
15,BERGER, 9.01 , 9.00 , 9.00 , 9.00 , 9.00 ,-0.01,-0.11%," 200,076 "," 1,802,912.50 ",,
16,BETAGLAS, 16.00 , 16.49 , 16.59 , 16.49 , 16.59 ,0.59,3.69%," 330,111 "," 5,431,196.16 ",,
17,CADBURY, 81.89 , 81.89 , 81.89 , 81.89 , 81.89 ,0.00,0.00%," 213,664 "," 16,819,694.69 ",,
18,CAP, 40.00 , 40.00 , 40.00 , 40.00 , 40.00 ,0.00,0.00%," 53,798 "," 2,143,826.15 ",,
19,CAVERTON, 4.19 , 4.38 , 4.39 , 4.05 , 4.34 ,0.15,3.58%," 5,901,940 "," 25,018,851.75 ",,
20,CCNN, 10.10 , 10.50 , 10.50 , 10.27 , 10.27 ,0.17,1.68%," 356,633 "," 3,697,870.85 ",,
21,CHAMS, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 2,200,000 "," 1,100,000.00 ",,
22,CILEASING, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 11,000 "," 5,500.00 ",,
23,CONOIL, 57.00 , 56.30 , 59.85 , 56.30 , 59.85 ,2.85,5.00%," 750,735 "," 44,347,497.40 ",,
24,CONTINSURE, 1.07 , 1.05 , 1.05 , 1.05 , 1.05 ,-0.02,-1.87%," 125,622 "," 132,143.10 ",,
25,COSTAIN, 1.12 , 1.12 , 1.17 , 1.12 , 1.17 ,0.05,4.46%," 402,338 "," 467,866.26 ",,
26,COURTVILLE, 0.60 , 0.57 , 0.60 , 0.57 , 0.60 ,0.00,0.00%," 441,000 "," 254,635.00 ",,
27,CUSTODYINS, 3.48 , 3.59 , 3.60 , 3.44 , 3.51 ,0.03,0.86%," 2,231,767 "," 7,879,959.44 ",,
28,CUTIX, 1.83 , 1.92 , 1.92 , 1.92 , 1.92 ,0.09,4.92%," 66,729 "," 128,119.68 ",,
29,DANGCEM, 226.60 , 230.00 , 230.02 , 230.00 , 230.00 ,3.40,1.50%," 3,049,891 "," 701,459,999.84 ",,
30,DANGFLOUR, 8.45 , 8.50 , 8.50 , 8.50 , 8.50 ,0.05,0.59%," 341,120 "," 2,897,871.64 ",,
31,DANGSUGAR, 9.64 , 9.70 , 9.75 , 9.50 , 9.60 ,-0.04,-0.41%," 2,326,103 "," 22,410,997.94 ",,
32,DIAMONDBNK, 6.85 , 6.80 , 6.80 , 6.70 , 6.70 ,-0.15,-2.19%," 24,766,443 "," 166,073,855.30 ",,
33,DNMEYER, 1.11 , 1.11 , 1.11 , 1.11 , 1.11 ,0.00,0.00%," 29,144 "," 33,807.04 ",,
34,DUNLOP, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 2,000 "," 1,000.00 ",,
35,EKOCORP, 3.72 , 3.72 , 3.72 , 3.72 , 3.72 ,0.00,0.00%, 500 ," 1,770.00 ",,
36,ETERNA, 3.66 , 3.65 , 3.84 , 3.50 , 3.84 ,0.18,4.92%," 5,815,344 "," 21,907,959.58 ",,
37,ETI, 16.65 , 16.59 , 16.60 , 16.59 , 16.60 ,-0.05,-0.30%," 656,808 "," 10,852,859.48 ",,
38,EVANSMED, 2.70 , 2.60 , 2.70 , 2.60 , 2.70 ,0.00,0.00%," 201,850 "," 533,244.50 ",,
39,FBNH, 15.60 , 15.53 , 15.70 , 15.50 , 15.55 ,-0.05,-0.32%," 20,716,502 "," 322,883,855.14 ",,
40,FCMB, 4.05 , 4.05 , 4.05 , 4.02 , 4.05 ,0.00,0.00%," 1,734,471 "," 7,017,507.63 ",,
41,FIDELITYBK, 2.01 , 2.06 , 2.07 , 2.02 , 2.07 ,0.06,2.99%," 4,463,309 "," 9,082,224.51 ",,
42,FIDSON, 2.89 , 2.82 , 2.87 , 2.81 , 2.87 ,-0.02,-0.69%," 790,034 "," 2,259,329.60 ",,
43,FIRSTALUM, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 4,100 "," 2,050.00 ",,
44,FLOURMILL, 78.00 , 78.00 , 78.00 , 78.00 , 78.00 ,0.00,0.00%," 731,651 "," 57,012,657.32 ",,
45,FO, 250.01 , 250.01 , 250.01 , 250.01 , 250.01 ,0.00,0.00%," 51,044 "," 12,123,460.44 ",,
46,FORTISMFB, 5.96 , 5.96 , 5.96 , 5.96 , 5.96 ,0.00,0.00%," 2,585,000 "," 15,406,600.00 ",,
47,GCAPPA, 14.46 , 14.46 , 14.46 , 14.46 , 14.46 ,0.00,0.00%, 500 ," 6,870.00 ",,
48,GLAXOSMITH, 68.00 , 68.00 , 68.00 , 68.00 , 68.00 ,0.00,0.00%," 31,655 "," 2,145,668.89 ",,
49,GNI, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 10,000 "," 5,000.00 ",,
50,GUARANTY, 30.50 , 30.50 , 31.09 , 30.50 , 30.91 ,0.41,1.34%," 7,386,009 "," 227,961,002.99 ",,
51,GUINNESS, 180.01 , 179.00 , 179.00 , 179.00 , 179.00 ,-1.01,-0.56%," 99,845 "," 17,890,718.20 ",,
52,HONYFLOUR, 4.25 , 4.39 , 4.18 , 4.18 , 4.18 ,-0.07,-1.65%," 2,004,623 "," 8,380,901.94 ",,
53,IKEJAHOTEL, 0.82 , 0.82 , 0.82 , 0.82 , 0.82 ,0.00,0.00%," 292,498 "," 235,681.44 ",,
54,INTBREW, 25.93 , 25.93 , 25.93 , 25.93 , 25.93 ,0.00,0.00%," 303,785 "," 7,901,018.55 ",,
55,IPWA, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 8,500 "," 4,250.00 ",,
56,JAPAULOIL, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 900,242 "," 450,121.00 ",,
57,JBERGER, 70.87 , 70.87 , 70.87 , 70.87 , 70.87 ,0.00,0.00%," 24,773 "," 1,715,835.00 ",,
58,JOSBREW, 2.93 , 2.93 , 2.93 , 2.93 , 2.93 ,0.00,0.00%," 13,500 "," 37,665.00 ",,
59,LAWUNION, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 707,600 "," 353,800.00 ",,
60,LEARNAFRCA, 1.80 , 1.80 , 1.80 , 1.80 , 1.80 ,0.00,0.00%," 13,654 "," 23,566.69 ",,
61,LIVESTOCK, 3.20 , 3.15 , 3.15 , 3.10 , 3.10 ,-0.10,-3.13%," 555,080 "," 1,730,633.00 ",,
62,MANSARD, 2.56 , 2.50 , 2.50 , 2.50 , 2.50 ,-0.06,-2.34%," 353,181 "," 883,045.00 ",,
63,MAYBAKER, 1.75 , 1.68 , 1.78 , 1.68 , 1.76 ,0.01,0.57%," 2,008,775 "," 3,500,493.59 ",,
64,MBENEFIT, 0.52 , 0.52 , 0.54 , 0.50 , 0.54 ,0.02,3.85%," 7,971,698 "," 4,115,043.07 ",,
65,MOBIL, 126.00 , 129.00 , 131.05 , 129.00 , 131.05 ,5.05,4.01%," 361,139 "," 47,207,343.45 ",,
66,MRS, 48.00 , 48.00 , 48.00 , 48.00 , 48.00 ,0.00,0.00%," 13,485 "," 630,279.32 ",,
67,MTI, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 200,000,000 "," 100,000,000.00 ",,
68,MULTITREX, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 20,000 "," 10,000.00 ",,
69,NAHCO, 4.99 , 4.94 , 4.94 , 4.75 , 4.75 ,-0.24,-4.81%," 4,726,178 "," 22,719,595.72 ",,
70,NASCON, 12.30 , 12.20 , 12.00 , 11.59 , 12.00 ,-0.30,-2.44%," 2,178,550 "," 25,523,857.11 ",,
71,NB, 180.00 , 178.50 , 179.00 , 178.50 , 179.00 ,-1.00,-0.56%," 1,594,478 "," 285,207,332.79 ",,
72,NCR, 15.99 , 15.99 , 15.99 , 15.99 , 15.99 ,0.00,0.00%," 1,250 "," 19,000.00 ",,
73,NEIMETH, 1.25 , 1.20 , 1.26 , 1.20 , 1.26 ,0.01,0.80%," 656,589 "," 808,573.01 ",,
74,NEM, 0.82 , 0.82 , 0.84 , 0.82 , 0.83 ,0.01,1.22%," 1,119,336 "," 926,356.51 ",,
75,NESTLE," 1,080.01 "," 1,080.00 "," 1,080.00 "," 1,070.00 "," 1,070.00 ",-10.01,-0.93%," 221,163 "," 237,167,109.80 ",,
76,NIGERINS, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 16,200 "," 8,100.00 ",,
77,NIGROPES, 7.46 , 7.46 , 7.46 , 7.46 , 7.46 ,0.00,0.00%, 500 ," 3,545.00 ",,
78,NNFM, 20.78 , 20.78 , 20.78 , 20.78 , 20.78 ,0.00,0.00%," 64,696 "," 1,277,746.00 ",,
79,OANDO, 20.10 , 19.95 , 20.10 , 19.33 , 20.10 ,0.00,0.00%," 8,044,787 "," 160,625,904.94 ",,
80,OASISINS, 0.53 , 0.53 , 0.53 , 0.53 , 0.53 ,0.00,0.00%," 78,500 "," 41,605.00 ",,
81,OKOMUOIL, 33.86 , 33.86 , 33.86 , 33.86 , 33.86 ,0.00,0.00%," 268,558 "," 9,038,345.79 ",,
82,PAINTCOM, 1.40 , 1.40 , 1.40 , 1.40 , 1.40 ,0.00,0.00%," 100,000 "," 140,000.00 ",,
83,PREMBREW, 0.77 , 0.77 , 0.77 , 0.77 , 0.77 ,0.00,0.00%," 20,000 "," 16,000.00 ",,
84,PRESCO, 37.50 , 36.75 , 36.87 , 36.51 , 36.55 ,-0.95,-2.53%," 510,876 "," 18,741,871.29 ",,
85,PRESTIGE, 0.54 , 0.54 , 0.54 , 0.54 , 0.54 ,0.00,0.00%," 26,008 "," 13,564.34 ",,
86,PZ, 36.94 , 36.94 , 36.94 , 36.94 , 36.94 ,0.00,0.00%," 94,537 "," 3,467,024.82 ",,
87,REDSTAREX, 4.60 , 4.60 , 4.60 , 4.60 , 4.60 ,0.00,0.00%," 16,000 "," 72,680.00 ",,
88,ROYALEX, 0.53 , 0.53 , 0.53 , 0.53 , 0.53 ,0.00,0.00%," 193,199 "," 102,248.48 ",,
89,RTBRISCOE, 1.03 , 1.06 , 1.08 , 1.06 , 1.08 ,0.05,4.85%," 548,216 "," 585,407.76 ",,
90,SCOA, 5.06 , 5.06 , 5.06 , 5.06 , 5.06 ,0.00,0.00%, 300 ," 1,443.00 ",,
91,SEPLAT, 650.00 , 650.00 , 650.00 , 650.00 , 650.00 ,0.00,0.00%," 26,850 "," 17,469,760.05 ",,
92,SKYEBANK, 3.38 , 3.36 , 3.48 , 3.36 , 3.42 ,0.04,1.18%," 11,487,516 "," 39,616,444.26 ",,
93,SOVRENINS, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%, 200 , 100.00 ,,
94,STACO, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 5,200 "," 2,600.00 ",,
95,STANBIC, 25.32 , 25.35 , 25.35 , 25.35 , 25.35 ,0.03,0.12%," 1,027,281 "," 26,046,354.78 ",,
96,STERLNBANK, 2.34 , 2.35 , 2.38 , 2.31 , 2.33 ,-0.01,-0.43%," 8,258,153 "," 19,442,804.60 ",,
97,TOTAL, 170.00 , 170.00 , 170.00 , 170.00 , 170.00 ,0.00,0.00%," 31,471 "," 5,330,714.78 ",,
98,TRANSCORP, 4.48 , 4.40 , 4.40 , 4.21 , 4.28 ,-0.20,-4.46%," 35,157,531 "," 150,971,124.05 ",,
99,TRANSEXPR, 2.20 , 2.25 , 2.25 , 2.25 , 2.25 ,0.05,2.27%," 60,945 "," 136,975.05 ",,
100,UAC-PROP, 17.25 , 18.00 , 18.00 , 18.00 , 18.00 ,0.75,4.35%," 521,427 "," 9,323,856.63 ",,
101,UACN, 60.00 , 59.01 , 59.01 , 59.01 , 59.01 ,-0.99,-1.65%," 370,984 "," 21,893,982.05 ",,
102,UBA, 7.90 , 7.94 , 8.05 , 7.93 , 8.03 ,0.13,1.65%," 35,144,175 "," 281,974,386.18 ",,
103,UBCAP, 2.40 , 2.41 , 2.41 , 2.35 , 2.35 ,-0.05,-2.08%," 3,222,235 "," 7,704,113.92 ",,
104,UBN, 10.30 , 10.18 , 10.20 , 10.06 , 10.06 ,-0.24,-2.33%," 926,623 "," 9,367,501.17 ",,
105,UNILEVER, 50.65 , 49.50 , 49.60 , 49.50 , 49.60 ,-1.05,-2.07%," 479,850 "," 23,849,114.39 ",,
106,UNIONDICON, 14.11 , 14.11 , 14.11 , 14.11 , 14.11 ,0.00,0.00%," 9,400 "," 126,054.00 ",,
107,UNITYBNK, 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,0.00,0.00%," 798,216 "," 399,108.00 ",,
